content,score
Apaan udah langganan banyak show yg ga tersedia. Mending balik ke Netflix aja haha,2
Udah bagus tapi kenapa buka apl lagi eror ya gak bisa masuk apl tidak menanggapi padahal udah langanan,4
"Film dan serial yg ditayangkan oleh Prime tidak semuanya telah diberikan/disediakan subtitle Indonesia, meskipun sebenarnya itu bukanlah lagi tayangan film/serial baru, sedangkan di tempat lain film/serial dengan judul yg sama telah dilengkapi subtitle Indonesianya Buat saya tentunya ini cukup mengecewakan, karena opsi yg disediakan justru subtitle ke bahasa lainnya sedangkan ini ditayangkan di Indonesia Harapannya semoga kedepannya semua telah dilengkapi dengan subtitle Indonesia",2
"Film mandarin nya mana bos, kok hilang pula",4
"GOBLOK, NGELEG ANJ",1
ERROR,1
Gak jelas. Akun tiba² kena ban,1
"Menurut saya aplikasi streaming satu ini memiliki banyak kekurangan, seperti subtitle Indonesia yang terlalu lama di bandingan dialog antar tokoh, kalau menonton menggunakan data seluler kualitas film jelek banget padahal sudah di setting tingkat maks, tolong untuk lebih di perhatikan lagi dalam kualitasnya kalau begini terus bisa bisa kalah dengan aplikasi streaming yang lain. Yang unggul dari aplikasi ini cuma serial eksklusif saja",1
Saya heran kenapa setelah berlanggan akun saya terkunci dan tidak bisa di buka? Saya bingung harus lapor kemana?,1
"error mulu, gabisa login",1
"Pelase For Prime Video, my account is locked even though I entered the correct password and telephone number correctly. Why can't I log in? I've tried various methods but I can't log in. I've verified it but it still doesn't work.",1
"Saya sudah log in dan daftar, malah ga bisa tulisannya terhambat vpn. Sedangkan saya ga pernah pakai vpn sama sekali. Akhirnya sy batalkan. Dan dana sy masih blm kembali sampe skrg",1
Kualitas gambar dan suara oke,5
bayar semua,1
"udh premium tapi masih ada iklan, terus subtitle nya juga kadang muncul, kadang ngga",4
Kenapa kok suka force closed sendiri padahal sudah saya hapus datanya,1
"film, seriesnya kurang variatif. update konten terbaru juga sedikit. tambah buruk lagi film yang dulu ada tiba2 hilang 'this video in unavailable' udah coba ubah bahasa barangkali karena bahasa, tapi tetep ga muncul lagi",3
Kualitas film dan gambar sangat bagus,5
gabisa login dan kode login tidak dikirim walaupun nungguin nya lama,1
Menikmati suguhan film2 berkualitas..,5
Prime Video App sangat rekomendasi buat kalian yang lagi nyari suasana movie terbaru dan beberapa movie yang hits juga ada disini. Serta mudah diaplikasikan dan kualitas gambarnya sudah Full HD. Tunggu apalagi yuk segera download guys :) thanks!,5
"Buruk sekali saya menyesal mendownload aplikasi ini saya ingin pengebalian saldo GOpay, sangat tidak pantas untuk langanan Saya tidak bisa masuk di amazon prime dan saya kehilangan saldo saya, saya meminta pengebalian saldo untuk kalian hati hati jangan sampai seperti saya sayaa sangat kecewa 😥😥😥😥😥😥😥😥😥😥😥😥😥😣😟😟😟😟😟😟😟",1
Jelek,1
"Beberapa film tidak lengkap, mohon tambahkan film ataupun TV series lainnya.",3
"Tolong dong ini prime vidio knp, sy tiap bulan berlangganan tapi giliran mau di play filmnya ngga bisa hrs berlangganan lg ini gmna ya, hampir tiap bulan seperti ini trs, tolong solusinya. Nanti kalo sudah normal apanya sy balik lg dan kasih bintang 5. Terimakasih 🙏🏻",3
Sudah payment tapi masih belum bisa nonton film. Apa ada yang salah ya.,5
"kalau ngasih promo jangan setengah setengah lah, saya sudah beli promo di my Telkomsel tapi cuman bisa di lihat di hp saja ga bisa di lihat di laptop atau tv. mohon agar promo dari my Telkomsel itu bisa menonton menggunakan laptop atau tv",3
Film x kurang lengkap,3
Saldo terpotong tapi tidak bisa melihat video,1
untuk login saja susah,1
Susah masuknya padahal udah minta kode verivikasi tapi ndak ada pesan masuk,1
"msh kurang lengkap acaranya, sdh subscribe tp msh ada aja iklan",3
"masih ada bug yg udh lama ada, pas nonton cuma suara doang filmnya hitam",1
"Gua dapet langganan gratis 1 bulan dari pembelian paket Telkomsel. Waktu mau daftar di upoint.id, gua buat akun pake No. telp tapi malah muncul ""no telp sudah digunakan"" trus gua nyoba login, ehh malah muncul ""tidak dapat menemukan."" Trus gua skip, pas langsung login di Prime Video bisa lancar jaya, tapiiiiiiiii pas mau nonton film malah disuruh bayar langganan waktu mau nonton. Ini gimana sih, tolong bantuin",1
Login ae ribet bgt kocak kocak,1
"Sudah punya akun tapi mau login gak bisa, bagus banget. Uangnya mau tapi melayani konsumen se enaknya👍",1
Bagus sih.. To film nya uda usang.. Yang terbaru donk.,5
Aplikasi paling berguna tapi versi kebalik nya,1
Oke banget.... Tolong diperbanyak film2 baru dan film2 peraih penghargaan...,5
Video mejadi blank(menjadi gelap/hitam) saat diputar,1
Saya sangat suka sama aplikasi nya,5
"Gua awal nya nyoba ni apk. Kok bgs gitu awal nya, iklan cuma 1x doang. Tp beberapa hari ini gua pakai malah gk bisa. Video malah black screen. Mohon di usahain diperbaiki masalah tersebut. Dan kalau bisa tambah fitur ganti kualitas video saat sedang menonton. Terimakasih.",1
aneh susah banget nonton di tv doang,1
Apk parahhh sumpah ya berhenti muluuuuu,1
Sangat menyenangkan,5
"Sorry, failed to register. Please fix it",1
Oke,5
Besttttttttg,5
"Tolong Untuk Film India Kasih Teks Indonesia Agar Bisa Di Tonton ,Banyak Film² Bagus India Tapi Tidak Bisa Di Tonton Karena Tidak Ada Teks Indonesia",1
Good,5
Menyenangkan,5
kualitas filmnya bagus,5
Aplikasi paling ribet login aja gabisa,1
Kok island 2 tidak ada ya min.,5
"APLIKASI APA INI?!!! BUKAN HANYA VIDEONYA SEDIKIT.. TPI LOGINNYA PUN SUSAH MINTA AMPUN!!! SETIAP LOGIN SELALU MUNCUL ""HUBUNGI LAYANAN PELANGGAN"". GOBLOKKK!!!! APK BAJINGANNN!!! SDAH DIBAYAR EH MALAH SULIT LGI LOGIN BANGKE!!!!! TAIKKK!!!!!!",1
"Bagus lancar, sangat menghibur.",5
ga bisa daftar. verifikasi no hp ga bisa bisa,1
"Susah. Mau daftar, dibilang email sudah dipakai. Minta reset password, ditanya nama lengkap. Dikasih nama lengkap, katanya salah. Susah betul lah.",1
Debugging trus videonya ga muncul cuma ada sound doang please dong perbaiki,1
Padahal udah masuk langganan di telkomsel tapi malah gak bisa nonton di amazon. Disuruh berlangganan lagi.,1
"Gratisan Telkomsel, ok bgt",5
Kurang lengkap,1
sayang aja ga ada subtitle,4
Mantaap,5
Menarik,5
"punya saya ga muncul tampilan apapun ""hanya tulisan terjadi kesalahan, silahkan coba lagi"" udah 1minggu dr awal sya instal seperti itu trs",1
"Bagus, tapi beberapa anime/film ga ada sub indonesia nya",4
Jadi ipdt po,1
Ok,5
"Mengecewakan. Saya sudah berlangganan, namun tidak bisa masuk lewat hp. Mereka minta verifikasi OTP hingga 12 lewat email kali tapi masih gagal masuk.",1
"Susah mau nonoton prime video, pakai buat account amazon...bullet,padahal dari telkomsel sdh dpt kuota 1 bulan prime vidoe.",1
"Buat tv series (terutama anime) yang tidak pernah di update season berikutnya, padahal di ""tetangga"" sudah ada. Padahal sudah nunggu lama.",3
Susah sekali log in padahal nmor sudah berlangganan prime video satu bulan,2
"Aktivasi berlangganan susah, muter-muter buat aktivasi berlangganan, loading page nya lama pula. Nyusahin",1
Kalo bagus full bintang oke,4
Film nya bagus,4
"Baru 2 minggu kepake jaringan wifi tapi loading total, parah rugi daftar",1
"ini tiba"" layar item gak ada filmnya cuman suara aja mengecewakan",1
Login aj susah,1
Gak bisa login pake no telkom,1
Ada suara tidak ada gambar,1
Film nya bagus bagus mantap,5
Ga bisa masuk log in.,1
"Ga ngerti sy Baru x ini daftar akun ga bisa², pdhal cuma buat nonton pun",1
Kenapa cara sambung ke TV Ribet skali ya ? Tolong permudah lah min cara sambung ke TV nya,1
Taio 13,5
👍,5
"Pertama bagus, bisa login dan berlangganan, nah pas pagi bisa di tonton, bgtu saya tak matiin atau Keluar dari aplikasi, dan bgtu kembali menonton keluar dari login saya login balik tidak bisa Malah akun saya terkunci sama Akun Amazon gak jelas banget",1
Aplikasinya stabil dan streaming berjalan lancar. Koleksi videonya juga bagus,4
Apk nya bagus cuman gak ada fitur subtitle,3
"Tidak bisa mendaftarkan akun, saya sudah melakukan percobaan beberapa kali. Di sana tertulis ""kami mendeteksi aktivitas yang tidak biasa, dan tidak dapat membuat akun""",1
Filmnya okee,5
aplikasi jelek film yg sedikit dan bnyak yg jelek. .subtittle nya pun gk semua ada,1
"apasi ini masa tiba tiba semua nya ga ada gambarnya, bener bener cuman layar hitam, pdhl sound sama subtitle nya ada, ud uninstall download lagi, ngurangi kualitas video tetep aja layar nya item, pls deh",2
"gabisa login,mau ganti password disuruh ngadu ke cs tapi ga Nemu jalan keluarnya",1
"pembayaran berhasil, saldo terpotong namun tidak bisa login. sungguh mengecewakan",1
"Aplikasi sering error saat memutar film tidak ada video hanya suara dan subtitle saja, padahal waktu langganan prime saya masih aktif.",2
Akun dikunci,3
Untuk login aja ga bisa🙄,1
"aplikasi aneh, saya ga suka pokoknya semoga cepat sadar dan gaada lagi yang pake!",1
"Bagus.... Lengkapi lagi koleksi film film bioskop yg up to date.... Pokoknya, mantulita 👍🏼👍🏼",5
Tolong stop berlangganan Amazon prime video,1
"Bisa bisanya gak ada muncul gambar videonya, ini video atau radio cuma suruh dengar suara...... Mengecewakan",1
Kebanyakan film kurang populer. Tolong bugnya benerin yang layar hitam semua dan hanya suara saya tahu bisa diakalin dengan nyalain ulang hp tapi cukup mengganggu sensasi saya pada saat menonton,3
"Saya mau akses prime video susah sekali,karna gaptek,giliran sudah login,mirror di tv ,gambar nya tidak muncul...why",3
Suka banget,5
Udah di kualitas tontonan TERBAIK tapi tetep aja waktu nonton filmnya kualitas nya BURIK heran deh pdhl wifi lancar,1
Kualitas video dan suara bagus disertai penjelasan tokoh.,5
"Awalnya ga tertarik utk ntn dsini, tp akhirnya ketagihan...krn filmnya bagus2. Menyenangkan & otak jadi refresh 👍",5
Tolong kasih settingan kecepatan pemutaran vidio dong min 😁😁,4
Semoga filmnya & series lebih bagus2 lagi,4
"Fitur lengkap tambahan pengaturan percepat 1x,2x,3x.",4
Aplikasi tdk jelas dpt bonus dr pembelian paket telkomsel tp setelah mau d tonton malah suruh berlangganan lagi...katanya gratis 30 hr tp nyatanya zonk...ini sebenarnya yg gak jelas dr telkomselnya atau dr prime videonya .... !!,1
"film nya jelek jelek, giliran yang bagus malah unavailable. GA JELAS",1
Aplikasi yg bikin naik darah mumet login aja susah bgt bikin pusing aja,1
"Kalau tidak niat buat aplikasi dan setengah-setengah jangan maksain dibuat. Sumpah mau buat akun untuk login aja ngak bisa bisa, sudah satu jam buat akun kaya dipersulit aja. Login aja juga ngak bisa kaya dipersulit, padahal saya pakai wifi dan internet juga lancar tapi mesti ada masalah jaringan terus kalau mau login😡😡.",1
"Sudah menggunakan aplikasi ini lebih dari 7 bulan ga pernah ada kendala. Baru kali ini tiba-tiba tampilan film hitam blank (gak ada gambar) tp suara dn subtitle ttep jalan. Klo sudah diperbaiki, penilaian bintang akan ku Revision",2
"I LOVE IT. I can rewatch my favorite tv series when i high school, Charmed",5
Aplikasinya sering offline padahal data hidup,2
Apaan masuk login aja susah nya minta ampun. Gajelas banget,1
"Saya sudah pakai paket yg berlangganan 1 bulan, tapi sering tidak bisa di pakay. Pada saat mau nonton filem malah filemnya di kunci semua. Padahal paket internet dr telkomsel saya sudah sm prime video yg 30 hari.",1
Very good...👍👍👍,5
Mantap bnykin film terbaru,5
kualitas film jernih dan hemat kuota👍,5
Baguss dan membantuu,4
"Menyenangkan,menghubibur",5
Banyak film yang bagus tapi hanya sedikit film yang tersedia,5
Bagus,5
GABISA BUAT AKUN SBLL PDHL BLM PERNAH BUAT,1
Mantap,5
Cukup bintang 2 aj dulu kalau menarik baru saya kasih bintang full,2
Mantaapp,5
tidak dapat membuat akun,1
sulit buat login dan membuat akun.. tidak semua isp internet bisa. msh lbh mudah netflix.. bye.. gk jadi nonton prime dh,1
Gaa bsa login kocak,1
"gk jlas bngt bikin aplikasi, buat kata sandi aja ribet, udhdi ganti ini itu ttp gkbisa, dasar gajelas",1
"pilihan filmnya ditambah dong... terutama yang mempunyai rating IMDB lebih dr 7,00",4
mantap,5
SANGATTTTT BAGUS UNTUK URUSAN FILM,5
layar hitam cuman ada suara saja sangat merugikan,1
"Ajg mau daftar aja susah banget gak bisa-bisa aplikasi tolol,, apk nya lemot juga aneh Mending hapus aja nih apk dari play store Jangan ada yg download guys apk nya GK bagus",1
Nice,5
susah login!!!!!,1
"Sudah beli di telkomsel malah tidak bisa di tonton,,aplikasi banyak menipu ingin ambil untung saja",5
kntlllll login aja gabisa di curigai mulu,1
aplikasi paling susah digunakan padahal nomor sudah terdaftar jadi pelanggan tapi tetep aja ga bisa nonton filmnya,1
Subtitle bahasa indonesia nya di update dong min,2
mau bikin akun tp gagal trs aneh banget,1
Tidak bisa login dengan alasan yang tak bisa diterima. Kecewa.,1
"good aplication for movie update ,,",5
Kurang 1 bintang untuk koleksi film & Acara Tv terbarunya. Kedepan semoga lebih di perbanyak koleksinya.,4
Film nya tingkatkan lagi 🔥,4
Saat merugikan sudah berbayar dengan durasi sebulan tapi malah di tangguhkan akun nya...!!! RUGI..RUGI...,1
Tolong diperbaiki dong masalah ini. Saya udh langganan prime video monthly. Tetapi pada saat saya masuk ke Prime tidak bisa diakses langganannya. Jika sudah diperbaiki masalah saya kasih Bintang 3 (takut jika ada masalah lainnya),3
"Tolong perbaiki kualitas video saat streaming, awalnya sudah hd, lalu di keluar aplikasi sebentar trus lanjut nonton lgi resolusi jadi jelek 240p",2
langganan prime video saya masih aktiv tapi tidak bisa di buat memutar video,1
Aplikasi berjalan dengan baik,5
"Sejauh ini saya suka dengan tampilannya yang detail akan film seperti muncul nama aktor disetiap scene itu hal baru di aplikasi streaming, tetapi tolong tambahkan fitur putar video lebih cepat seperti 1.5x atau pun lambat 0.5x. Saya mencari form feedback di amazon tetapi tidak ketemu, jadi mohon dipertimbangkan untuk fitur ini",5
Always free so always 5 stars for amazon prime,5
Buat akun di persulit!!!!,1
ini saya kedua kali langganan prime yg awal masih aman kok yg bulan ini status sudah terbayar tp masih gk bisa dipakai ya?,1
Bagus,5
"Aplikasi busuk, gak jelas tiba tiba keluar sendiri",1
"pengaturan keamanannya annoying, gak jelas",1
Sudah bayar langganan namun tidak bisa diputar,1
Ga semua film ada sub indo nya,1
"Saya suka nonton disini, menurutku fine fine aja sih",5
"Aneh bgt, login diaplikasi gabisa, kode otpnya gamasuk masuk. Tapi di web bisa.",1
Good,5
Sudah berlangganan tapi masih belom bisa dibuka Sampai sekarang tidak ada tanggapan,1
Saya sudah beli paket telkomsel dan dapat bonus nton prime vidio 30 hr kenapa disaat buka prime vidio dminta bayar langganan lg tolong bantu min 😩,3
"Sangat mudah, kualitas videonya bagus dan pilihan genre-nya beragam. Kita juga bisa menikmati film2 lawas buat nostalgia.",5
Enggk bisa di tonton padahal udh activ di pembelian paket,5
film sama seriesnya keren keren,5
aplikasi gak gunaa,1
Pencarian nya sering gak nyambung,1
"Aplikasi bangke buat login aja kaga bisa, buat telkomsel ngapain bundling paket sama aplikasi ga guna sih?",1
Gagal daftar. Kode otp ga di kirim,5
Mantap banget,5
aplikasi gag jelas log in susah udh bayar juga...penipuan ini,1
"egk jelas banget apk nya disuruh verif tapi tampilannya egk muncul, dahal jaringan aman2 aja, apa yang di verifikasi kalo instruksinya aja egk ditampilin. anehhh",1
pas lagi gabut aku buka applikasi ini lah seru banget banyak film anime kesukaan ku,5
Best,5
"Banyak film bagus yang ingin saya tonton tetapi tidak ada di aplikasi prime videonya, atau bisa dibilang ada covernya di web tetapi di aplikasi tidak ada filmnya, dan juga jika bisa perbanyak lagi film² bagus agar dapat mengurangi pembajakan film. Itu saja terimakasih",3
Dpt gratisan dr beli paketan....jd bagus banget kl ada aplikasi ini,5
"Kocak suruh login pun susah, malah disuruh hubungi layanan pelanggan, padahal nomor telepon ada, email ada, password ada.",1
Film fresh,5
Susah bener kena deteksi vpn terus,3
Opsional,5
"Gw gak ngerti buat apa orang membeli ni layanan dengan full price, gw aja dapat ini bonus dari kuota, dan ini adalah layanan paling buruk, yang paling ngeselin ada di fitur download, di gadang2 bisa 1080p pas gw download opsi ""terbaik"" 1080p darimana? Picek mata gw, app seperti ini gak pantas dapet rate 1 harusnya 0, gw harep lebih dibenahi lagi sebelum rilis, ngeselin bet, (fyi gw pake wifi)",1
Gambar bagus dan jelas,5
"film original nya banyak yang bagus-bagus..., semoga kedepannya bisa lebih banyak lagi film original nya",5
"Aplikasi buruk, ribet, dan mempersulit calon pelanggan. Mending yg merah lebih mudah dan praktis.",1
"Video tidak ada gambarnya. Hanya layar hitam, tapi jalan waktu serta suaranya",1
Mantap,5
film lumayan baru tp masih kalah sama netflix sih,5
"Aplikasi sampah, utk login saja susah banget",1
"APLIKASI BURUK, SDH TERDAFTAR PRIME MELALUI TELKOMSEL TAPI TDK BISA DIGUNAKAN, KLO ADA BINTANG 0 KUKASIH BINTANG 0",1
"Gajelas,,,",1
Mantap dengan di lengkapi rating film nya.,4
bagus,5
login nya ssh bnget udh beli pket 2 hari ngk bs login,3
Aplikasi bagus dan berkualitas.,5
"Sudah di bayar berlangana,dan sudah di potong uang nya,tetap tidak bisa di pakek,dan tetap belum berlangganan",1
Login aja ga bisa2. Aplikasi aneh,1
"Daftar akun ga bisa,alasan kesalahan,ribet banget cuma langganan ,rugi saya ga pakai kuota nya ,aplikasi yg lain aja ga ribet kayak gini",1
"Aplikasi busuk, susah bgt login dong0",1
Great App,5
"Ga bisa login, kocak ah",1
Bagus,5
Film action kurang banyak,4
"Saya dapat aktivasi bonus pembelian paket telkomsel, setelah berhasil aktivasi setelahnya saat login ribet banget, account saya tiba2 locked temporarily dan tidak bisa login kembali. Kecewa...",1
Film g lengkap percuma banget beli premium mnding Netflix aj kalau bgitu,1
"RIBET! APLIKASI TLL. Logout sendiri, mau login ulang susah, Pakai kode gak muncul2 kode nya, Pakai kata sandi reload terus, UJUNG-UJUNGNYA AKUN DI KUNCI KAN GBLK.",1
Sy beli paket Telkomsel ini sdh yg ke 3 x nya langganan prime video bersmaaa dgn paket Telkomsel bgtu mau buka ehh ga bisa katanya paket anda masih aktip Bingung ya.mau ngadu ke cs tidak pernah di respon Jd kita sebagai customer Telkomsel ini merasa dirugikan mau ngado kemana ke cs Telkomsel bilang hrs ke cs prime video.kalo mmg ga bisa jgn dimunculkan itu paket pv,1
Resolusi video tidak bisa dikunci ke resolusi tinggi,1
Sangat mudah dalam mengakses nya,5
Banyak yang terjemahan subtitle nya kacau,1
"Sudah beli paketnya ternyata tidak bisa di play videonya, Apps Scam",1
Mantul brother🔥🔥🔥,5
Saya mendaftarkan kenapa susah sekali,4
"Suguhan film & series dikit banget, kebanyakan udh pernah di tonton dan rating film jelek2 semua. Heran dgn masalah Subtitle kalo gk delay parah, kadang tidak muncul samasekali, kadang kecepetan, kalo klik pause ditinggal bentar pas lanjut knp harus ulang klik episode nya lagi, ulang koneksi internet lagi hadeh ribet bener dah.",1
Tolong perbanyak playlist series atau film! 🙏,3
gbs login apk jelekkkk!!!,1
Film nya bagus bagus mantap,5
Apk dengan ui jelek dan pengalaman menonton yg jelek,1
Bagus,4
"Setelah membayar langganan, disuruh untuk konfirmasi langganan, namun tidak ada email ataupun link untuk konfirmasi, sehingga sudah membayar tapi tidak bisa menonton video",1
aplikasi anjinggg daftar saja ribet asuuu,1
Dapet paket prime seluler dri paket combo sakti telkomsel ternyata setelah diaktivasi melaui linknya ternyata log in di appnya gagal masuk mulu,1
Top,5
Ribet,1
Saya sih yes,5
Nice...👍,5
Ok,5
"daftar doang ribet ,kode gak di kirim-kirim, daftar sering error sampwk berulang-ulang kali!! rusak itu di perbaiki bukan di biarin",1
Very good,5
"Setelah update, semua film saat di putar, tidak muncul gambar, hanya muncul subtitle dan suara saja.. Untuk video benar2 hitam saja",2
Filmnya bagus tapi film nya rata2 film yang lawas,4
"aplikasi sampah, mau bikin akun aja tidak mendapatkan kode otp. padahal nomer telepon sudah benar, berkali kali saya coba. susah banget login nya. saya harap Telkomsel balik ke disney aja gausah kerja sama bareng prime video mobile! aplikasi belum siap kok diluncurkan. benci!",1
"Delay subtitle,black screen",1
Udah beli langganan malah di kunci akunya,1
Loginnya susah dan ribet,1
Gooods,5
Sudah berhasil aktivasi.. Tapi tidak bisa log in percuma,1
udah langganan malah gabisa login,1
"Sangat menghibur, mudah koneksinya, filmnya banyak bagus dan pas untuk mengisi waktu libur.. Masih tetap bertahan untuk menghibur, filmnya lebih super..",5
Baik dan lancar lancar aja.,5
susah buat loginn. Padahal udah langganan di Telkomsel,1
"Saya dapat langganan prime video dari pembelian combo sakti telkomsel. Tapi nyatanya kalo mau nonton di prime video semua filmnya masih terkunci (dalam artian masih harus berlangganan). Saya jadi bingung, apakah ini masalahnya di telkomselnya atau di prime videonya? Dari pesan yg masuk di nomor saya via SMS, disitu di beritahukan kalo ""Langganan Prime video saya masih aktif"" Tapi nyatanya tdk bisa dibuka semua filmnya.",1
Perkara login akun harus ganti setingan bangke ngerepotin banget,1
Bagus Filmnya,5
Saya membeli langganan status pembayaran google Play sudah diterima namun masih tidak bisa di putar video nya dan masih ada tulisan berlangganan.,1
Susah banget buat bikin akun nya kalo bisa di permudah lhk,3
Mau masuk aja ribet,1
"masih banyak yang harus diperbaiki , Takarir indonesia dibeberapa video tidak ada , ada juga yang tertulis tersedia sub indo ternyata malah subtitle portugis , video juga ada yg eps nya tidak tersedia kan aneh masa nontonnya loncat, perbaikilah untuk region indonesia udah langganan malah kecewa sama pelayanan Amazon Prime.",1
Excellent,5
Lebih update lagi donk film2nya 😍,5
"App sampah... login aja susahnya minta ampun... sudah beli paketan rugi deh... Klo Lionsgate; catchplas+; WeTV; Viu semuanya mudah, auto lancar, mantabz jiwa pokoke.... auto *5 pastinya",1
"sudah bayar langganan bulanan melalui mytelkomsel; cs.upoint.id : ""saat ini ada masih terdaftar di amazon prime video mobile edition 30 days""; tapi login ga bisa-bisa; ternyata di app nya dinyatakan belum berlangganan??? piye toh iki mas...???",1
Film2nya bagus dan selalu ada update. Kualitas video pun juga bagus,5
Memotong secara sepihak tanpa konfirmasi kembali,1
"Film film na terbatas, mungkin karena produksi aj kali y",4
Nice,5
Good apl,5
"download amazon prime video karna ingin nonton film serial LOST,tapi ternyata film nya tidak ada di apk ini.semoga bisa ditambah di watchlist nya film serial LosT",5
Lumayan keren film-filmnya,5
"My internet fast enough to play video in 1080p, but the automatic quality player make me watch 480p and i cant do anything to force it to play high quality (1080p), its so bad",1
Berantakan,2
Susah bgt loginnya!!!,1
Saya sudah bayar film nya tapi masih terkunci semua film nya bagaimana ini?,1
"Tidak bisa buka, padahal dapat free dari Telkomsel 😔",1
Login ribet amat,1
Kenapa sya tidak bisa langganan di video ini,5
Mantap,5
"Mayan dari pada manyun, baik dan menyenangkan.",5
Kenapa di Bulan Juli Prime Video mobile saya tdk bisa dipakai ( tdk aktif ) padahal status saya aktif waktu saya Cek . Saya sdh konfirmasi lewat telpon CS nomer tdk aktif.,5
Kualitas video nya bagus banget,5
Sangat menghibur...,5
"Masih banyak kurangnya, tapi juga sudah banyak bagusnya👍",4
maaf kok videonya layarnya hitam yh ga ada gambar nya?,1
Very good app,5
Prime video masih banyak kekurangan nya..lebih mahal dr yg sebelah punya .tpi kualitas dibawahnya..ga bisa di atur kecerahan dan volume video .jadi gelap banget kalo nonton film horor. Film nya yg muncul kebanyakan film lama bukan yg baru dan yg viral.next diperbaiki lagi dong biar pelanggan ga kecewa,2
"Saya sudah berlangganan se paket dg telkomsel, kok saat buka sesuai akunnomer masih belum berlangganan ya?",3
buat login susah selalu harus hubungin costumer service tapi tidak bisa ada yg di hubungin,3
Apk kontoll bnyak mauuu,1
why when I watch there are no pictures only the writing comes out. Please help,3
Baru mau nyoba apk nya tp buat login nya susah banget,1
Good app,5
"Aplikasi sering eror, subtitle lebih cepat daripada video, tidak bisa diatur.",1
Filmnya bagus,4
Bagus banyak fitur film yg saya belum tonton.. terimakasih prime video sukses selalu 🙏🙏,5
"Aplikasi ga guna , udah bayar langganan malah di blokir akun saya , alasannya nomor yang terdaftar sama nomor pembayaran beda ! Tapi duit di potong , suu lah !!",1
Filimnya bagus2.. saran ja nih Min.. lebih cerah lagi penceahannya,5
Tiba tiba layarnya menjadi hitam,1
Aktivasi yg sulit. Padahal sdh beli paket. Kalo begini bagus netflix sekalian,5
"""kayaknya"" admin Amazon Prime Indonesia sendirian dan sudah tua ya? Film2 nya banyak yg era boomer, India dan film2 dokumenter yg nggak menarik bahkan sbg pengetahuan. Editing subtitle nya pun payah, subtitlenya kerap ketinggalan dr voice.",1
Pas mau disambungkan ke tv disuruh update. Pas udah update pun ttp gak bisa. Kecewa. Padahal udah langganan tiap bulan.,2
Kerja sama dengan telkomsel tp tidak jelas ga bs di pakai ttp harus bayar sama saja bohong,1
Koleksi filmnya cukup lengkap dan menarik,5
sangat bagus filmnya dan terbaik aplikasinya 👍🏻👍🏻,5
gabisa milih resolusi,5
Login aja susah 👎👎👎👎👎,1
Busuk gak bisa nonton,1
Film film ga mutu,1
